 ,problem,size,size_cat,solver,budget,dist_type,name_type,rep,fx,norm_fx,pheno
129,OneMax,8,small,hill_climber,20,fine,lin,9,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
130,OneMax,8,small,hill_climber,20,fine,lin,10,7.0,0.7484276729559748,"[0, 1, 1, 1, 1, 1, 1, 1]"
131,OneMax,8,small,hill_climber,20,fine,lin,11,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
132,OneMax,8,small,hill_climber,20,fine,lin,12,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
133,OneMax,8,small,hill_climber,20,fine,lin,13,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
134,OneMax,8,small,hill_climber,20,fine,lin,14,6.0,0.49685534591194963,"[0, 1, 1, 1, 1, 1, 0, 1]"
135,OneMax,8,small,hill_climber,20,fine,lin,15,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
136,OneMax,8,small,hill_climber,20,fine,lin,16,5.0,0.24528301886792447,"[1, 1, 0, 1, 1, 0, 1, 0]"
137,OneMax,8,small,hill_climber,20,fine,lin,17,6.0,0.49685534591194963,"[1, 1, 0, 0, 1, 1, 1, 1]"
138,OneMax,8,small,hill_climber,20,fine,lin,18,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
139,OneMax,8,small,hill_climber,20,fine,lin,19,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
140,OneMax,8,small,hill_climber,20,fine,str,0,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
141,OneMax,8,small,hill_climber,20,fine,str,1,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
142,OneMax,8,small,hill_climber,20,fine,str,2,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
143,OneMax,8,small,hill_climber,20,fine,str,3,6.0,0.49685534591194963,"[1, 1, 0, 0, 1, 1, 1, 1]"
144,OneMax,8,small,hill_climber,20,fine,str,4,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
145,OneMax,8,small,hill_climber,20,fine,str,5,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 1, 0]"
146,OneMax,8,small,hill_climber,20,fine,str,6,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
147,OneMax,8,small,hill_climber,20,fine,str,7,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
148,OneMax,8,small,hill_climber,20,fine,str,8,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
149,OneMax,8,small,hill_climber,20,fine,str,9,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
150,OneMax,8,small,hill_climber,20,fine,str,10,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
151,OneMax,8,small,hill_climber,20,fine,str,11,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
152,OneMax,8,small,hill_climber,20,fine,str,12,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
153,OneMax,8,small,hill_climber,20,fine,str,13,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
154,OneMax,8,small,hill_climber,20,fine,str,14,6.0,0.49685534591194963,"[1, 1, 0, 0, 1, 1, 1, 1]"
155,OneMax,8,small,hill_climber,20,fine,str,15,6.0,0.49685534591194963,"[1, 0, 1, 1, 0, 1, 1, 1]"
156,OneMax,8,small,hill_climber,20,fine,str,16,6.0,0.49685534591194963,"[1, 1, 0, 1, 0, 1, 1, 1]"
157,OneMax,8,small,hill_climber,20,fine,str,17,6.0,0.49685534591194963,"[0, 0, 1, 1, 1, 1, 1, 1]"
158,OneMax,8,small,hill_climber,20,fine,str,18,5.0,0.24528301886792447,"[1, 0, 1, 1, 1, 0, 1, 0]"
159,OneMax,8,small,hill_climber,20,fine,str,19,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
160,OneMax,8,small,genetic_algorithm,20,coarse,lin,0,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
161,OneMax,8,small,genetic_algorithm,20,coarse,lin,1,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
162,OneMax,8,small,genetic_algorithm,20,coarse,lin,2,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
163,OneMax,8,small,genetic_algorithm,20,coarse,lin,3,5.0,0.24528301886792447,"[0, 1, 1, 1, 1, 0, 1, 0]"
